name,vol_points,vol_points_stderr,rel_points,time_points_s,fom_points,vol_lines,vol_lines_stderr,rel_lines,time_lines_s,fom_lines,analytic,abs_err_points,abs_err_lines
fuel_pin_fuel,5.33345,0.0107128,0.00200861,0.0340077,7288390.0,5.30337,0.0284188,0.00535863,0.182104,191238.0,5.33267,0.0007799999999997809,0.029300000000000104
fuel_pin_clad,1.75839,0.00480721,0.00273387,0.0281677,4750000.0,1.75973,0.010281,0.00584238,0.216802,135132.0,1.75555,0.0028399999999999537,0.0041800000000000725
fuel_pin_coolant,10.6075,0.00897905,0.000846485,0.0322312,43299800.0,10.5445,0.0360295,0.0034169,0.294619,290720.0,10.6008,0.006700000000000372,0.05630000000000024
hollow_steel,4.46281,0.0272154,0.00609826,0.0269476,997855.0,4.46116,0.0335874,0.00752884,0.198209,89006.0,4.45321,0.009599999999999831,0.007949999999999235
hollow_water,43.9784,0.0663402,0.00150847,0.0347259,12655300.0,44.323,0.275472,0.00621509,0.220258,117536.0,43.9823,0.003900000000001569,0.3406999999999982
hollow_air,43.9336,0.0715001,0.00162746,0.0351569,10739100.0,44.3015,0.376556,0.00849986,0.214696,64469.2,43.9823,0.04870000000000374,0.31919999999999504
hollow_outside,43.17,0.0651979,0.00151026,0.0243352,18016200.0,43.4767,0.248942,0.00572588,0.175498,173797.0,43.1022,0.0677999999999983,0.3744999999999976
hex_prism,6.93463,0.0118646,0.00171091,0.0285878,11949900.0,6.92648,0.0352263,0.00508575,0.178894,216120.0,6.9282,0.006429999999999936,0.00172000000000061
general_plane_halfspace,4.00179,0.00314105,0.000784911,0.029995,54114200.0,4.01727,0.0218404,0.00543662,0.172853,195733.0,4.0,0.0017899999999997362,0.017269999999999897
translated_sphere,4.19246,0.00746527,0.00178064,0.0253042,12464000.0,4.18452,0.0285317,0.00681838,0.22487,95654.6,4.18879,0.003669999999999618,0.004269999999999996
rotated_cube,1.00424,0.0044688,0.00444994,0.0215585,2342470.0,1.01224,0.0221528,0.0218849,0.233919,8925.8,1.0,0.0042400000000000215,0.012240000000000029
torus,7.39534,0.00862238,0.00116592,0.0299435,24567400.0,7.4213,0.0265694,0.00358016,0.16723,466534.0,7.4022,0.006859999999999644,0.019099999999999895
elliptical_torus,5.34242,0.00475681,0.000890384,0.0329537,38277200.0,5.34049,0.0182708,0.00342119,0.188888,452316.0,5.32959,0.012830000000000119,0.010900000000000354
