energy_MeV,water_SigT_cm^-1,natU_SigT_cm^-1
1e-11,81.6002,20.9174
1.0584e-11,79.3177,20.3351
1.12022e-11,77.099,19.7689
1.18564e-11,74.9425,19.2189
1.25489e-11,72.8462,18.6841
1.32818e-11,70.8088,18.1646
1.40575e-11,68.8284,17.6595
1.48785e-11,66.9033,17.1688
1.57475e-11,65.0322,16.6918
1.66672e-11,63.2135,16.2283
1.76406e-11,61.4456,15.7779
1.86709e-11,59.7274,15.3403
1.97613e-11,58.0571,14.9148
2.09155e-11,56.4337,14.5014
2.2137e-11,54.8557,14.0997
2.34299e-11,53.3219,13.7093
2.47983e-11,51.8311,13.33
2.62466e-11,50.382,12.9614
2.77795e-11,48.9735,12.6032
2.94019e-11,47.6044,12.2553
3.11191e-11,46.2737,11.917
3.29366e-11,44.9803,11.5885
3.48602e-11,43.7231,11.2692
3.68962e-11,42.5011,10.9591
3.9051e-11,41.3133,10.6576
4.13318e-11,40.1589,10.3648
4.37457e-11,39.0368,10.0803
4.63006e-11,37.9461,9.80382
4.90047e-11,36.886,9.53533
5.18668e-11,35.8556,9.27453
5.4896e-11,34.8541,9.02106
5.81022e-11,33.8807,8.77486
6.14955e-11,32.9345,8.53565
6.50871e-11,32.0149,8.30336
6.88884e-11,31.1211,8.07759
7.29118e-11,30.2524,7.85844
7.71701e-11,29.408,7.6455
8.16771e-11,28.5873,7.43863
8.64474e-11,27.7896,7.23776
9.14962e-11,27.0144,7.0428
9.68399e-11,26.2609,6.85328
1.02496e-10,25.5285,6.6692
1.08482e-10,24.8167,6.4905
1.14818e-10,24.1248,6.31687
1.21523e-10,23.4524,6.14832
1.28621e-10,22.7989,5.98462
1.36133e-10,22.1638,5.82561
1.44083e-10,21.5465,5.67129
1.52498e-10,20.9466,5.52136
1.61405e-10,20.3635,5.37579
1.70832e-10,19.7969,5.23449
1.80809e-10,19.2463,5.09735
1.91369e-10,18.7111,4.96413
2.02545e-10,18.1909,4.83464
2.14375e-10,17.6854,4.70903
2.26895e-10,17.1942,4.58707
2.40147e-10,16.7168,4.46861
2.54172e-10,16.2529,4.35363
2.69017e-10,15.802,4.242
2.84728e-10,15.364,4.13368
3.01357e-10,14.9383,4.02844
3.18958e-10,14.5245,3.9262
3.37586e-10,14.1225,3.82701
3.57302e-10,13.7319,3.73064
3.7817e-10,13.3523,3.63711
4.00257e-10,12.9835,3.54628
4.23633e-10,12.625,3.45805
4.48375e-10,12.2769,3.37245
4.74562e-10,11.9386,3.28929
5.02278e-10,11.6098,3.20852
5.31613e-10,11.2906,3.13017
5.62661e-10,10.9802,3.05395
5.95522e-10,10.6789,2.98005
6.30303e-10,10.386,2.9082
6.67115e-10,10.1015,2.83847
7.06077e-10,9.82517,2.77072
7.47315e-10,9.55665,2.7049
7.90961e-10,9.29601,2.64101
8.37156e-10,9.04273,2.57893
8.86049e-10,8.79669,2.51863
9.37797e-10,8.55794,2.46008
9.92568e-10,8.32567,2.40313
