energy_MeV,U238_inelastic
1e-11,0
1.0584e-11,0
1.12022e-11,0
1.18564e-11,0
1.25489e-11,0
1.32818e-11,0
1.40575e-11,0
1.48785e-11,0
1.57475e-11,0
1.66672e-11,0
1.76406e-11,0
1.86709e-11,0
1.97613e-11,0
2.09155e-11,0
2.2137e-11,0
2.34299e-11,0
2.47983e-11,0
2.62466e-11,0
2.77795e-11,0
2.94019e-11,0
3.11191e-11,0
3.29366e-11,0
3.48602e-11,0
3.68962e-11,0
3.9051e-11,0
4.13318e-11,0
4.37457e-11,0
4.63006e-11,0
4.90047e-11,0
5.18668e-11,0
5.4896e-11,0
5.81022e-11,0
6.14955e-11,0
6.50871e-11,0
6.88884e-11,0
7.29118e-11,0
7.71701e-11,0
8.16771e-11,0
8.64474e-11,0
9.14962e-11,0
9.68399e-11,0
1.02496e-10,0
1.08482e-10,0
1.14818e-10,0
1.21523e-10,0
1.28621e-10,0
1.36133e-10,0
1.44083e-10,0
1.52498e-10,0
1.61405e-10,0
1.70832e-10,0
1.80809e-10,0
1.91369e-10,0
2.02545e-10,0
2.14375e-10,0
2.26895e-10,0
2.40147e-10,0
2.54172e-10,0
2.69017e-10,0
2.84728e-10,0
3.01357e-10,0
3.18958e-10,0
3.37586e-10,0
3.57302e-10,0
3.7817e-10,0
4.00257e-10,0
4.23633e-10,0
4.48375e-10,0
4.74562e-10,0
5.02278e-10,0
5.31613e-10,0
5.62661e-10,0
5.95522e-10,0
6.30303e-10,0
6.67115e-10,0
7.06077e-10,0
7.47315e-10,0
7.90961e-10,0
8.37156e-10,0
8.86049e-10,0
9.37797e-10,0
9.92568e-10,0
1.05054e-09,0
1.11189e-09,0
1.17683e-09,0
1.24556e-09,0
1.31831e-09,0
1.3953e-09,0
1.47679e-09,0
1.56304e-09,0
1.65433e-09,0
1.75095e-09,0
1.85321e-09,0
1.96145e-09,0
2.076e-09,0
2.19725e-09,0
2.32558e-09,0
2.4614e-09,0
2.60515e-09,0
2.75731e-09,0
2.91834e-09,0
3.08878e-09,0
3.26918e-09,0
3.46011e-09,0
3.6622e-09,0
3.87608e-09,0
4.10246e-09,0
4.34206e-09,0
4.59565e-09,0
4.86406e-09,0
5.14813e-09,0
5.4488e-09,0
5.76704e-09,0
6.10385e-09,0
6.46034e-09,0
6.83765e-09,0
7.23699e-09,0
7.65966e-09,0
8.10701e-09,0
8.58049e-09,0
9.08162e-09,0
9.61202e-09,0
1.01734e-08,0
1.07676e-08,0
1.13964e-08,0
1.2062e-08,0
1.27665e-08,0
1.35121e-08,0
1.43013e-08,0
1.51365e-08,0
1.60205e-08,0
1.69562e-08,0
1.79465e-08,0
1.89946e-08,0
2.0104e-08,0
2.12782e-08,0
2.25209e-08,0
2.38362e-08,0
2.52283e-08,0
2.67017e-08,0
2.82612e-08,0
2.99118e-08,0
3.16587e-08,0
3.35077e-08,0
3.54647e-08,0
3.7536e-08,0
3.97282e-08,0
4.20485e-08,0
4.45043e-08,0
4.71035e-08,0
4.98545e-08,0
5.27662e-08,0
5.58479e-08,0
5.91097e-08,0
6.25619e-08,0
6.62157e-08,0
7.0083e-08,0
7.41761e-08,0
7.85083e-08,0
8.30934e-08,0
8.79464e-08,0
9.30828e-08,0
9.85192e-08,0
1.04273e-07,0
1.10363e-07,0
1.16809e-07,0
1.23631e-07,0
1.30851e-07,0
1.38493e-07,0
1.46582e-07,0
1.55143e-07,0
1.64204e-07,0
1.73794e-07,0
1.83944e-07,0
1.94687e-07,0
2.06058e-07,0
2.18092e-07,0
2.30829e-07,0
2.44311e-07,0
2.58579e-07,0
2.73681e-07,0
2.89665e-07,0
3.06583e-07,0
3.24489e-07,0
3.4344e-07,0
3.63498e-07,0
3.84728e-07,0
4.07197e-07,0
4.30979e-07,0
4.5615e-07,0
4.82791e-07,0
5.10988e-07,0
5.40831e-07,0
5.72418e-07,0
6.05849e-07,0
6.41233e-07,0
