energy_MeV,U235_fission,U235_capture,U238_fission,U238_capture
1e-11,30364.2,5974.02,0.000591236,136.202
1.0584e-11,29514.6,5806.86,0.000574692,132.391
1.12022e-11,28688.7,5644.37,0.000558611,128.686
1.18564e-11,27886,5486.44,0.00054298,125.086
1.25489e-11,27105.7,5332.92,0.000527786,121.585
1.32818e-11,26347.2,5183.69,0.000513018,118.183
1.40575e-11,25610,5038.65,0.000498663,114.876
1.48785e-11,24893.4,4897.66,0.000484709,111.662
1.57475e-11,24196.8,4760.61,0.000471146,108.537
1.66672e-11,23519.8,4627.41,0.000457963,105.5
1.76406e-11,22861.6,4497.92,0.000445148,102.548
1.86709e-11,22221.9,4372.07,0.000432692,99.6787
1.97613e-11,21600.1,4249.73,0.000420584,96.8895
2.09155e-11,20995.7,4130.82,0.000408816,94.1784
2.2137e-11,20408.3,4015.23,0.000397376,91.5431
2.34299e-11,19837.2,3902.88,0.000386257,88.9816
2.47983e-11,19282.1,3793.67,0.000375449,86.4917
2.62466e-11,18742.6,3687.52,0.000364943,84.0715
2.77795e-11,18218.2,3584.34,0.000354731,81.7191
2.94019e-11,17708.4,3484.05,0.000344805,79.4324
3.11191e-11,17212.9,3386.56,0.000335157,77.2098
3.29366e-11,16731.3,3291.8,0.000325779,75.0493
3.48602e-11,16263.1,3199.7,0.000316663,72.9493
3.68962e-11,15808.1,3110.16,0.000307802,70.9081
3.9051e-11,15365.7,3023.14,0.000299189,68.924
4.13318e-11,14935.8,2938.55,0.000290818,66.9954
4.37457e-11,14517.9,2856.33,0.00028268,65.1208
4.63006e-11,14111.7,2776.41,0.00027477,63.2986
4.90047e-11,13716.8,2698.72,0.000267082,61.5274
5.18668e-11,13333,2623.21,0.000259608,59.8058
5.4896e-11,12959.9,2549.81,0.000252344,58.1323
5.81022e-11,12597.3,2478.46,0.000245283,56.5057
6.14955e-11,12244.8,2409.12,0.00023842,54.9246
6.50871e-11,11902.2,2341.71,0.000231748,53.3877
6.88884e-11,11569.2,2276.19,0.000225264,51.8939
