energy_MeV,H1_sigmaT,O16_sigmaT
1e-11,1192.16,56.1524
1.0584e-11,1158.81,54.5879
1.12022e-11,1126.4,53.0669
1.18564e-11,1094.89,51.589
1.25489e-11,1064.26,50.1523
1.32818e-11,1034.49,48.7564
1.40575e-11,1005.55,47.3995
1.48785e-11,977.423,46.0808
1.57475e-11,950.084,44.7994
1.66672e-11,923.509,43.5539
1.76406e-11,897.679,42.3436
1.86709e-11,872.572,41.1676
1.97613e-11,848.167,40.0243
2.09155e-11,824.446,38.9135
2.2137e-11,801.388,37.8339
2.34299e-11,778.977,36.7849
2.47983e-11,757.192,35.7655
2.62466e-11,736.018,34.7749
2.77795e-11,715.437,33.8124
2.94019e-11,695.432,32.8773
3.11191e-11,675.987,31.9681
3.29366e-11,657.087,31.0853
3.48602e-11,638.716,30.2269
3.68962e-11,620.86,29.3935
3.9051e-11,603.503,28.5832
4.13318e-11,586.633,27.7963
4.37457e-11,570.235,27.0316
4.63006e-11,554.297,26.2886
4.90047e-11,538.805,25.567
5.18668e-11,523.747,24.8662
5.4896e-11,509.111,24.185
5.81022e-11,494.886,23.5234
6.14955e-11,481.058,22.8806
6.50871e-11,467.619,22.2565
6.88884e-11,454.556,21.6499
7.29118e-11,441.86,21.0612
7.71701e-11,429.519,20.4893
8.16771e-11,417.524,19.9337
8.64474e-11,405.865,19.3943
9.14962e-11,394.534,18.8711
9.68399e-11,383.52,18.3624
1.02496e-10,372.815,17.8684
1.08482e-10,362.411,17.3891
1.14818e-10,352.298,16.9235
1.21523e-10,342.469,16.4717
1.28621e-10,332.916,16.0331
1.36133e-10,323.631,15.6072
1.44083e-10,314.607,15.1943
1.52498e-10,305.836,14.7932
1.61405e-10,297.312,14.4041
1.70832e-10,289.027,14.0268
1.80809e-10,280.975,13.6611
1.91369e-10,273.15,13.306
2.02545e-10,265.543,12.9608
2.14375e-10,258.152,12.6268
2.26895e-10,250.968,12.3029
2.40147e-10,243.986,11.9887
2.54172e-10,237.201,11.6852
2.69017e-10,230.607,11.3893
2.84728e-10,224.199,11.1035
3.01357e-10,217.972,10.8263
3.18958e-10,211.919,10.5574
3.37586e-10,206.038,10.2976
3.57302e-10,200.322,10.0454
3.7817e-10,194.768,9.80154
4.00257e-10,189.371,9.56549
4.23633e-10,184.125,9.3365
4.48375e-10,179.029,9.11586
4.74562e-10,174.077,8.90192
5.02278e-10,169.265,8.69485
5.31613e-10,164.591,8.49587
5.62661e-10,160.046,8.30147
