collision_index,avg_energy_MeV
1,1.10593
2,0.624046
3,0.362397
4,0.199575
5,0.115658
6,0.0658774
7,0.0374243
8,0.0205664
9,0.0112076
10,0.00629723
11,0.0034554
12,0.0020002
13,0.00113699
14,0.000669318
15,0.000410163
16,0.000229203
17,0.000124986
18,7.38754e-05
19,3.95899e-05
20,2.19032e-05
21,1.23883e-05
22,7.07776e-06
23,3.99794e-06
24,1.83777e-06
25,9.11177e-07
26,5.45613e-07
27,3.48943e-07
28,2.48078e-07
29,1.69531e-07
30,1.17553e-07
31,7.93806e-08
32,6.56724e-08
33,5.3979e-08
34,4.61709e-08
35,4.29206e-08
36,4.14358e-08
37,4.02981e-08
38,4.1951e-08
39,4.25349e-08
40,4.10086e-08
