collision_index,avg_energy_MeV
1,0.944158
2,0.48078
3,0.2508
4,0.128151
5,0.0631119
6,0.0305049
7,0.0164418
8,0.00740056
9,0.00380472
10,0.00221649
11,0.00124793
12,0.000654177
13,0.000254901
14,0.000109106
15,4.62322e-05
16,2.3293e-05
17,1.29319e-05
18,7.72545e-06
19,2.92781e-06
20,1.33868e-06
21,7.84842e-07
22,4.51929e-07
23,2.17317e-07
24,9.94545e-08
25,7.39438e-08
26,5.21806e-08
27,4.71743e-08
28,4.09806e-08
29,4.05268e-08
30,3.9771e-08
31,3.87318e-08
32,3.81346e-08
33,3.93646e-08
34,3.79293e-08
35,3.74504e-08
36,3.85797e-08
37,3.82892e-08
38,4.00573e-08
39,3.90123e-08
40,4.19694e-08
