t_mid_s,counts
1.25e-09,1672
3.75e-09,1484
6.25e-09,1348
8.75e-09,1245
1.125e-08,1121
1.375e-08,1051
1.625e-08,954
1.875e-08,1027
2.125e-08,906
2.375e-08,920
2.625e-08,680
2.875e-08,736
3.125e-08,750
3.375e-08,668
3.625e-08,790
3.875e-08,750
4.125e-08,653
4.375e-08,539
4.625e-08,647
4.875e-08,664
5.125e-08,640
5.375e-08,561
5.625e-08,728
5.875e-08,622
6.125e-08,640
6.375e-08,666
6.625e-08,618
6.875e-08,640
7.125e-08,689
7.375e-08,576
7.625e-08,654
7.875e-08,556
8.125e-08,610
8.375e-08,580
8.625e-08,514
8.875e-08,598
9.125e-08,499
9.375e-08,512
9.625e-08,623
9.875e-08,549
1.0125e-07,596
1.0375e-07,599
1.0625e-07,540
1.0875e-07,704
1.1125e-07,690
1.1375e-07,577
1.1625e-07,572
1.1875e-07,590
1.2125e-07,652
1.2375e-07,538
1.2625e-07,638
1.2875e-07,539
1.3125e-07,647
1.3375e-07,675
1.3625e-07,594
1.3875e-07,527
1.4125e-07,625
1.4375e-07,626
1.4625e-07,626
1.4875e-07,568
1.5125e-07,633
1.5375e-07,602
1.5625e-07,597
1.5875e-07,565
1.6125e-07,620
1.6375e-07,600
1.6625e-07,613
1.6875e-07,541
1.7125e-07,538
1.7375e-07,612
1.7625e-07,702
1.7875e-07,580
1.8125e-07,613
1.8375e-07,557
1.8625e-07,488
1.8875e-07,622
1.9125e-07,611
1.9375e-07,533
1.9625e-07,666
1.9875e-07,625
2.0125e-07,585
2.0375e-07,533
2.0625e-07,571
2.0875e-07,546
2.1125e-07,559
2.1375e-07,573
2.1625e-07,614
2.1875e-07,602
2.2125e-07,530
2.2375e-07,730
2.2625e-07,607
2.2875e-07,510
2.3125e-07,571
2.3375e-07,508
2.3625e-07,618
2.3875e-07,627
2.4125e-07,624
2.4375e-07,565
2.4625e-07,559
2.4875e-07,704
2.5125e-07,630
2.5375e-07,587
2.5625e-07,640
2.5875e-07,662
2.6125e-07,576
2.6375e-07,565
2.6625e-07,531
2.6875e-07,574
2.7125e-07,617
2.7375e-07,688
2.7625e-07,640
2.7875e-07,668
2.8125e-07,616
2.8375e-07,701
2.8625e-07,683
2.8875e-07,656
2.9125e-07,618
2.9375e-07,576
2.9625e-07,593
2.9875e-07,702
3.0125e-07,541
3.0375e-07,638
3.0625e-07,582
3.0875e-07,559
3.1125e-07,634
3.1375e-07,574
3.1625e-07,595
3.1875e-07,609
3.2125e-07,559
3.2375e-07,589
3.2625e-07,595
3.2875e-07,586
3.3125e-07,616
3.3375e-07,604
3.3625e-07,659
3.3875e-07,559
3.4125e-07,582
3.4375e-07,590
3.4625e-07,600
3.4875e-07,592
3.5125e-07,527
3.5375e-07,615
3.5625e-07,533
3.5875e-07,582
3.6125e-07,573
3.6375e-07,574
3.6625e-07,622
3.6875e-07,629
3.7125e-07,540
3.7375e-07,593
3.7625e-07,634
3.7875e-07,714
3.8125e-07,641
3.8375e-07,605
3.8625e-07,604
3.8875e-07,592
3.9125e-07,572
3.9375e-07,698
3.9625e-07,611
3.9875e-07,592
4.0125e-07,596
4.0375e-07,624
4.0625e-07,612
4.0875e-07,628
4.1125e-07,642
4.1375e-07,581
4.1625e-07,630
4.1875e-07,589
4.2125e-07,646
4.2375e-07,624
4.2625e-07,495
4.2875e-07,579
4.3125e-07,515
4.3375e-07,561
4.3625e-07,552
4.3875e-07,528
4.4125e-07,597
4.4375e-07,550
4.4625e-07,566
4.4875e-07,558
4.5125e-07,562
4.5375e-07,601
4.5625e-07,453
4.5875e-07,521
4.6125e-07,651
4.6375e-07,510
4.6625e-07,660
4.6875e-07,577
4.7125e-07,597
4.7375e-07,564
4.7625e-07,637
4.7875e-07,638
4.8125e-07,599
4.8375e-07,534
4.8625e-07,606
4.8875e-07,570
4.9125e-07,561
4.9375e-07,693
4.9625e-07,616
4.9875e-07,528
5.0125e-07,649
5.0375e-07,665
5.0625e-07,564
5.0875e-07,622
5.1125e-07,641
5.1375e-07,657
5.1625e-07,614
5.1875e-07,673
5.2125e-07,566
5.2375e-07,527
5.2625e-07,617
5.2875e-07,627
5.3125e-07,538
5.3375e-07,593
5.3625e-07,675
5.3875e-07,613
5.4125e-07,619
5.4375e-07,622
5.4625e-07,654
5.4875e-07,677
5.5125e-07,588
5.5375e-07,539
5.5625e-07,482
5.5875e-07,618
5.6125e-07,523
5.6375e-07,527
5.6625e-07,642
5.6875e-07,625
5.7125e-07,563
5.7375e-07,625
5.7625e-07,637
5.7875e-07,625
5.8125e-07,647
5.8375e-07,563
5.8625e-07,575
5.8875e-07,558
5.9125e-07,585
5.9375e-07,534
5.9625e-07,648
5.9875e-07,567
6.0125e-07,571
6.0375e-07,562
6.0625e-07,619
6.0875e-07,640
6.1125e-07,670
6.1375e-07,641
6.1625e-07,589
6.1875e-07,567
6.2125e-07,562
6.2375e-07,611
6.2625e-07,627
6.2875e-07,600
6.3125e-07,511
6.3375e-07,613
6.3625e-07,610
6.3875e-07,550
6.4125e-07,594
6.4375e-07,629
6.4625e-07,597
6.4875e-07,612
6.5125e-07,575
6.5375e-07,669
6.5625e-07,521
6.5875e-07,618
6.6125e-07,620
6.6375e-07,583
6.6625e-07,641
6.6875e-07,559
6.7125e-07,581
6.7375e-07,595
6.7625e-07,604
6.7875e-07,668
6.8125e-07,609
6.8375e-07,612
6.8625e-07,613
6.8875e-07,687
6.9125e-07,636
6.9375e-07,618
6.9625e-07,584
6.9875e-07,662
7.0125e-07,588
7.0375e-07,603
7.0625e-07,609
7.0875e-07,674
7.1125e-07,635
7.1375e-07,613
7.1625e-07,661
7.1875e-07,625
7.2125e-07,650
7.2375e-07,569
7.2625e-07,622
7.2875e-07,593
7.3125e-07,562
7.3375e-07,623
7.3625e-07,645
7.3875e-07,579
7.4125e-07,677
7.4375e-07,685
7.4625e-07,634
7.4875e-07,754
7.5125e-07,610
7.5375e-07,562
7.5625e-07,608
7.5875e-07,604
7.6125e-07,706
7.6375e-07,647
7.6625e-07,611
7.6875e-07,589
7.7125e-07,665
7.7375e-07,660
7.7625e-07,653
7.7875e-07,697
7.8125e-07,761
7.8375e-07,648
7.8625e-07,683
7.8875e-07,661
7.9125e-07,693
7.9375e-07,649
7.9625e-07,786
7.9875e-07,701
8.0125e-07,740
8.0375e-07,573
8.0625e-07,660
8.0875e-07,565
8.1125e-07,541
8.1375e-07,703
8.1625e-07,688
8.1875e-07,679
8.2125e-07,714
8.2375e-07,730
8.2625e-07,669
8.2875e-07,721
8.3125e-07,756
8.3375e-07,670
8.3625e-07,731
8.3875e-07,718
8.4125e-07,670
8.4375e-07,810
8.4625e-07,790
8.4875e-07,819
8.5125e-07,727
8.5375e-07,896
8.5625e-07,778
8.5875e-07,684
8.6125e-07,776
8.6375e-07,778
8.6625e-07,928
8.6875e-07,802
8.7125e-07,863
8.7375e-07,903
8.7625e-07,981
8.7875e-07,953
8.8125e-07,964
8.8375e-07,864
8.8625e-07,1118
8.8875e-07,954
8.9125e-07,1104
8.9375e-07,1165
8.9625e-07,1048
8.9875e-07,1190
9.0125e-07,1313
9.0375e-07,1287
9.0625e-07,1444
9.0875e-07,1402
9.1125e-07,1672
9.1375e-07,1666
9.1625e-07,1795
9.1875e-07,1810
9.2125e-07,2081
9.2375e-07,2159
9.2625e-07,2381
9.2875e-07,2588
9.3125e-07,3021
9.3375e-07,3170
9.3625e-07,3378
9.3875e-07,3961
9.4125e-07,4342
9.4375e-07,4954
9.4625e-07,5533
9.4875e-07,6542
9.5125e-07,7762
9.5375e-07,8969
9.5625e-07,10466
9.5875e-07,12086
9.6125e-07,15058
9.6375e-07,17423
9.6625e-07,20970
9.6875e-07,24495
9.7125e-07,30376
9.7375e-07,36444
9.7625e-07,44299
9.7875e-07,53864
9.8125e-07,64152
9.8375e-07,77603
9.8625e-07,95126
9.8875e-07,115572
9.9125e-07,138971
9.9375e-07,170565
9.9625e-07,208290
9.9875e-07,251856
