t_mid_s,counts
1.25e-09,1256
3.75e-09,1090
6.25e-09,1089
8.75e-09,1098
1.125e-08,1000
1.375e-08,765
1.625e-08,731
1.875e-08,643
2.125e-08,644
2.375e-08,565
2.625e-08,413
2.875e-08,412
3.125e-08,407
3.375e-08,314
3.625e-08,290
3.875e-08,235
4.125e-08,233
4.375e-08,303
4.625e-08,183
4.875e-08,137
5.125e-08,156
5.375e-08,128
5.625e-08,141
5.875e-08,126
6.125e-08,88
6.375e-08,153
6.625e-08,93
6.875e-08,57
7.125e-08,80
7.375e-08,103
7.625e-08,82
7.875e-08,66
8.125e-08,78
8.375e-08,58
8.625e-08,50
8.875e-08,55
9.125e-08,73
9.375e-08,73
9.625e-08,41
9.875e-08,49
1.0125e-07,38
1.0375e-07,62
1.0625e-07,25
1.0875e-07,48
1.1125e-07,34
1.1375e-07,39
1.1625e-07,41
1.1875e-07,37
1.2125e-07,23
1.2375e-07,20
1.2625e-07,46
1.2875e-07,35
1.3125e-07,25
1.3375e-07,21
1.3625e-07,17
1.3875e-07,35
1.4125e-07,16
1.4375e-07,43
1.4625e-07,10
1.4875e-07,16
1.5125e-07,29
1.5375e-07,14
1.5625e-07,13
1.5875e-07,15
1.6125e-07,28
1.6375e-07,27
1.6625e-07,7
1.6875e-07,17
1.7125e-07,17
1.7375e-07,3
1.7625e-07,21
1.7875e-07,31
1.8125e-07,16
1.8375e-07,9
1.8625e-07,35
1.8875e-07,25
1.9125e-07,42
1.9375e-07,21
1.9625e-07,43
1.9875e-07,34
2.0125e-07,33
2.0375e-07,27
2.0625e-07,36
2.0875e-07,21
2.1125e-07,28
2.1375e-07,38
2.1625e-07,17
2.1875e-07,34
2.2125e-07,27
2.2375e-07,23
2.2625e-07,32
2.2875e-07,25
2.3125e-07,20
2.3375e-07,19
2.3625e-07,10
2.3875e-07,22
2.4125e-07,15
2.4375e-07,13
2.4625e-07,5
2.4875e-07,10
2.5125e-07,18
2.5375e-07,13
2.5625e-07,9
2.5875e-07,16
2.6125e-07,14
2.6375e-07,18
2.6625e-07,33
2.6875e-07,9
2.7125e-07,6
2.7375e-07,3
2.7625e-07,2
2.7875e-07,10
2.8125e-07,10
2.8375e-07,14
2.8625e-07,0
2.8875e-07,19
2.9125e-07,20
2.9375e-07,17
2.9625e-07,11
2.9875e-07,10
3.0125e-07,32
3.0375e-07,38
3.0625e-07,24
3.0875e-07,18
3.1125e-07,18
3.1375e-07,19
3.1625e-07,7
3.1875e-07,9
3.2125e-07,11
3.2375e-07,15
3.2625e-07,17
3.2875e-07,15
3.3125e-07,24
3.3375e-07,7
3.3625e-07,11
3.3875e-07,2
3.4125e-07,19
3.4375e-07,3
3.4625e-07,6
3.4875e-07,7
3.5125e-07,18
3.5375e-07,17
3.5625e-07,14
3.5875e-07,4
3.6125e-07,20
3.6375e-07,9
3.6625e-07,3
3.6875e-07,4
3.7125e-07,7
3.7375e-07,1
3.7625e-07,11
3.7875e-07,18
3.8125e-07,8
3.8375e-07,4
3.8625e-07,1
3.8875e-07,7
3.9125e-07,11
3.9375e-07,21
3.9625e-07,6
3.9875e-07,9
4.0125e-07,14
4.0375e-07,9
4.0625e-07,18
4.0875e-07,2
4.1125e-07,9
4.1375e-07,12
4.1625e-07,7
4.1875e-07,10
4.2125e-07,7
4.2375e-07,5
4.2625e-07,14
4.2875e-07,7
4.3125e-07,4
4.3375e-07,3
4.3625e-07,7
4.3875e-07,4
4.4125e-07,2
4.4375e-07,0
4.4625e-07,10
4.4875e-07,14
4.5125e-07,5
4.5375e-07,1
4.5625e-07,7
4.5875e-07,9
4.6125e-07,13
4.6375e-07,10
4.6625e-07,4
4.6875e-07,1
4.7125e-07,8
4.7375e-07,21
4.7625e-07,9
4.7875e-07,6
4.8125e-07,4
4.8375e-07,2
4.8625e-07,10
4.8875e-07,3
4.9125e-07,1
4.9375e-07,3
4.9625e-07,0
4.9875e-07,3
5.0125e-07,0
5.0375e-07,1
5.0625e-07,3
5.0875e-07,5
5.1125e-07,3
5.1375e-07,9
5.1625e-07,1
5.1875e-07,2
5.2125e-07,4
5.2375e-07,5
5.2625e-07,0
5.2875e-07,7
5.3125e-07,10
5.3375e-07,14
5.3625e-07,4
5.3875e-07,5
5.4125e-07,4
5.4375e-07,5
5.4625e-07,19
5.4875e-07,3
5.5125e-07,3
5.5375e-07,0
5.5625e-07,5
5.5875e-07,8
5.6125e-07,0
5.6375e-07,5
5.6625e-07,0
5.6875e-07,10
5.7125e-07,13
5.7375e-07,15
5.7625e-07,0
5.7875e-07,10
5.8125e-07,4
5.8375e-07,7
5.8625e-07,3
5.8875e-07,8
5.9125e-07,7
5.9375e-07,9
5.9625e-07,7
5.9875e-07,10
6.0125e-07,9
6.0375e-07,2
6.0625e-07,0
6.0875e-07,2
6.1125e-07,0
6.1375e-07,2
6.1625e-07,5
6.1875e-07,0
6.2125e-07,3
6.2375e-07,0
6.2625e-07,0
6.2875e-07,1
6.3125e-07,13
6.3375e-07,5
6.3625e-07,23
6.3875e-07,7
6.4125e-07,9
6.4375e-07,12
6.4625e-07,0
6.4875e-07,1
6.5125e-07,4
6.5375e-07,0
6.5625e-07,1
6.5875e-07,0
6.6125e-07,0
6.6375e-07,0
6.6625e-07,3
6.6875e-07,5
6.7125e-07,0
6.7375e-07,5
6.7625e-07,5
6.7875e-07,3
6.8125e-07,8
6.8375e-07,0
6.8625e-07,0
6.8875e-07,6
6.9125e-07,0
6.9375e-07,0
6.9625e-07,4
6.9875e-07,3
7.0125e-07,6
7.0375e-07,3
7.0625e-07,3
7.0875e-07,2
7.1125e-07,0
7.1375e-07,0
7.1625e-07,5
7.1875e-07,0
7.2125e-07,3
7.2375e-07,4
7.2625e-07,0
7.2875e-07,0
7.3125e-07,12
7.3375e-07,0
7.3625e-07,0
7.3875e-07,2
7.4125e-07,0
7.4375e-07,1
7.4625e-07,3
7.4875e-07,0
7.5125e-07,3
7.5375e-07,0
7.5625e-07,0
7.5875e-07,0
7.6125e-07,0
7.6375e-07,7
7.6625e-07,0
7.6875e-07,2
7.7125e-07,0
7.7375e-07,8
7.7625e-07,0
7.7875e-07,4
7.8125e-07,2
7.8375e-07,0
7.8625e-07,1
7.8875e-07,0
7.9125e-07,2
7.9375e-07,3
7.9625e-07,0
7.9875e-07,0
8.0125e-07,0
8.0375e-07,0
8.0625e-07,0
8.0875e-07,3
8.1125e-07,0
8.1375e-07,0
8.1625e-07,4
8.1875e-07,20
8.2125e-07,3
8.2375e-07,0
8.2625e-07,8
8.2875e-07,2
