name,vol,stderr,rel,time_s,fom,analytic
fuel_pin_fuel,5.29832,0.0327713,0.00618522,0.179649,145501,5.33267
fuel_pin_clad,1.7529,0.0123658,0.00705445,0.215662,93175.1,1.75555
fuel_pin_coolant,10.5718,0.0292572,0.00276748,0.300089,435090,10.6008
hollow_steel,4.41927,0.0295669,0.00669044,0.196398,113750,4.45321
hollow_water,43.9178,0.296065,0.00674135,0.217523,101158,43.9823
hollow_air,44.2957,0.353815,0.00798758,0.212333,73816.3,43.9823
hollow_outside,43.1014,0.329676,0.00764885,0.177449,96324,43.1022
hex_prism,6.90708,0.0251236,0.00363736,0.174691,432670,6.9282
hex_halfspace_y_le_0,3.46836,0.0434467,0.0125266,0.238855,26680.9,3.4641
translated_sphere,4.2096,0.0226033,0.00536946,0.267533,129646,4.18879
rotated_cube,1.00946,0.019473,0.0192905,0.30278,8875.38,1
torus,7.37597,0.0209564,0.00284117,0.313728,394868,7.4022
elliptical_torus,4.72702,0.0147179,0.00311357,0.257409,400737,4.73741
