name,vol,stderr,rel,time_s,fom,analytic
fuel_pin_fuel,5.33483,0.00906782,0.00169974,0.0257265,1.34541e+07,5.33267
fuel_pin_clad,1.75945,0.00431631,0.00245321,0.0277955,5.97802e+06,1.75555
fuel_pin_coolant,10.6029,0.0070485,0.000664772,0.031767,7.12325e+07,10.6008
hollow_steel,4.4372,0.0289097,0.0065153,0.0265078,888703,4.45321
hollow_water,43.8917,0.0739399,0.0016846,0.0328715,1.07198e+07,43.9823
hollow_air,43.9056,0.0602039,0.00137121,0.0332002,1.60195e+07,43.9823
hollow_outside,43.0929,0.0617944,0.00143398,0.0247179,1.96744e+07,43.1022
hex_prism,6.94129,0.00862421,0.00124245,0.0291313,2.22373e+07,6.9282
hex_halfspace_y_le_0,3.47335,0.00937728,0.00269978,0.0324861,4.22324e+06,3.4641
translated_sphere,4.19066,0.00915725,0.00218516,0.0302162,6.931e+06,4.18879
rotated_cube,1.00381,0.00473377,0.00471582,0.0254722,1.7653e+06,1
torus,7.41229,0.0088108,0.00118867,0.052336,1.3523e+07,7.4022
elliptical_torus,4.74675,0.00549042,0.00115667,0.0539875,1.38448e+07,4.73741
