gen,keff,water_height_cm,wt235,mol_frac_u,histories,generations,inactive
0,1.2732,27.1875,0.2,0.5,5000,50,10
1,1.127,27.1875,0.2,0.5,5000,50,10
2,1.0632,27.1875,0.2,0.5,5000,50,10
3,1.0864,27.1875,0.2,0.5,5000,50,10
4,1.0112,27.1875,0.2,0.5,5000,50,10
5,1.0294,27.1875,0.2,0.5,5000,50,10
6,1.0238,27.1875,0.2,0.5,5000,50,10
7,0.992,27.1875,0.2,0.5,5000,50,10
8,1.02258,27.1875,0.2,0.5,5000,50,10
9,1.0104,27.1875,0.2,0.5,5000,50,10
10,1.0034,27.1875,0.2,0.5,5000,50,10
11,1.062,27.1875,0.2,0.5,5000,50,10
12,1.018,27.1875,0.2,0.5,5000,50,10
13,1.0104,27.1875,0.2,0.5,5000,50,10
14,1.0134,27.1875,0.2,0.5,5000,50,10
15,0.9902,27.1875,0.2,0.5,5000,50,10
16,1.09271,27.1875,0.2,0.5,5000,50,10
17,0.9952,27.1875,0.2,0.5,5000,50,10
18,0.993167,27.1875,0.2,0.5,5000,50,10
19,1.03379,27.1875,0.2,0.5,5000,50,10
20,1.0134,27.1875,0.2,0.5,5000,50,10
21,1.0078,27.1875,0.2,0.5,5000,50,10
22,1.015,27.1875,0.2,0.5,5000,50,10
23,1.0054,27.1875,0.2,0.5,5000,50,10
24,1.0076,27.1875,0.2,0.5,5000,50,10
25,1.028,27.1875,0.2,0.5,5000,50,10
26,1.0502,27.1875,0.2,0.5,5000,50,10
27,1.0286,27.1875,0.2,0.5,5000,50,10
28,1.0004,27.1875,0.2,0.5,5000,50,10
29,1.059,27.1875,0.2,0.5,5000,50,10
30,1.0144,27.1875,0.2,0.5,5000,50,10
31,1.0006,27.1875,0.2,0.5,5000,50,10
32,0.995,27.1875,0.2,0.5,5000,50,10
33,1.06734,27.1875,0.2,0.5,5000,50,10
34,1.0248,27.1875,0.2,0.5,5000,50,10
35,1.0318,27.1875,0.2,0.5,5000,50,10
36,0.9942,27.1875,0.2,0.5,5000,50,10
37,1.01247,27.1875,0.2,0.5,5000,50,10
38,1.023,27.1875,0.2,0.5,5000,50,10
39,0.996,27.1875,0.2,0.5,5000,50,10
40,0.987952,27.1875,0.2,0.5,5000,50,10
41,1.01809,27.1875,0.2,0.5,5000,50,10
42,1.0232,27.1875,0.2,0.5,5000,50,10
43,0.9924,27.1875,0.2,0.5,5000,50,10
44,1.00564,27.1875,0.2,0.5,5000,50,10
45,0.953106,27.1875,0.2,0.5,5000,50,10
46,1.00946,27.1875,0.2,0.5,5000,50,10
47,1.0302,27.1875,0.2,0.5,5000,50,10
48,1.0002,27.1875,0.2,0.5,5000,50,10
49,1.00162,27.1875,0.2,0.5,5000,50,10
