gen,keff,water_height_cm,wt235,mol_frac_u,histories,generations,inactive
0,0.7455,10,0.2,0.5,2000,30,5
1,0.433937,10,0.2,0.5,2000,30,5
2,0.633694,10,0.2,0.5,2000,30,5
3,0.612195,10,0.2,0.5,2000,30,5
4,0.621514,10,0.2,0.5,2000,30,5
5,0.660256,10,0.2,0.5,2000,30,5
6,0.699029,10,0.2,0.5,2000,30,5
7,0.708333,10,0.2,0.5,2000,30,5
8,0.509804,10,0.2,0.5,2000,30,5
9,0.692308,10,0.2,0.5,2000,30,5
10,0.722222,10,0.2,0.5,2000,30,5
11,0.923077,10,0.2,0.5,2000,30,5
12,0.333333,10,0.2,0.5,2000,30,5
13,0,10,0.2,0.5,2000,30,5
