gen,keff,water_height_cm,wt235,mol_frac_u,histories,generations,inactive
0,1.288,35,0.2,0.5,2000,30,5
1,1.258,35,0.2,0.5,2000,30,5
2,1.161,35,0.2,0.5,2000,30,5
3,1.102,35,0.2,0.5,2000,30,5
4,1.138,35,0.2,0.5,2000,30,5
5,1.014,35,0.2,0.5,2000,30,5
6,1.0815,35,0.2,0.5,2000,30,5
7,1.0755,35,0.2,0.5,2000,30,5
8,1.0625,35,0.2,0.5,2000,30,5
9,1.053,35,0.2,0.5,2000,30,5
10,1.0785,35,0.2,0.5,2000,30,5
11,1.112,35,0.2,0.5,2000,30,5
12,0.982,35,0.2,0.5,2000,30,5
13,1.04684,35,0.2,0.5,2000,30,5
14,1.0705,35,0.2,0.5,2000,30,5
15,1.0525,35,0.2,0.5,2000,30,5
16,1.091,35,0.2,0.5,2000,30,5
17,1.1125,35,0.2,0.5,2000,30,5
18,1.04,35,0.2,0.5,2000,30,5
19,1.087,35,0.2,0.5,2000,30,5
20,1.09,35,0.2,0.5,2000,30,5
21,1.017,35,0.2,0.5,2000,30,5
22,1.091,35,0.2,0.5,2000,30,5
23,1.063,35,0.2,0.5,2000,30,5
24,1.0635,35,0.2,0.5,2000,30,5
25,1.1665,35,0.2,0.5,2000,30,5
26,1.087,35,0.2,0.5,2000,30,5
27,1.0555,35,0.2,0.5,2000,30,5
28,1.0375,35,0.2,0.5,2000,30,5
29,1.0815,35,0.2,0.5,2000,30,5
