water_height_cm,keff,wt235,mol_frac_u,histories,generations,inactive,tag
10,0.583151,0.2,0.5,2000,30,5,50_50_h10
20,0.914068,0.2,0.5,2000,30,5,50_50_h20
22.5,0.946365,0.2,0.5,2000,30,5,50_50_mid1
25,0.970677,0.2,0.5,2000,30,5,50_50_h25
25.625,0.991715,0.2,0.5,2000,30,5,50_50_mid3
26.4062,1.00681,0.2,0.5,2000,30,5,50_50_mid5
27.1875,1.0066,0.2,0.5,2000,30,5,50_50_mid4
28.75,1.02544,0.2,0.5,2000,30,5,50_50_mid2
30,1.03552,0.2,0.5,2000,30,5,50_50_h30
35,1.07262,0.2,0.5,2000,30,5,50_50_h35
35,1.06847,0.2,0.5,2000,30,5,50_50_mid0
40,1.10708,0.2,0.5,2000,30,5,50_50_h40
45,1.13096,0.2,0.5,2000,30,5,50_50_h45
50,1.12628,0.2,0.5,2000,30,5,50_50_h50
55,1.14808,0.2,0.5,2000,30,5,50_50_h55
60,1.16198,0.2,0.5,2000,30,5,50_50_h60
