quantity,material,mean_per_source,stderr_per_source,rel_error,mean_per_s,stderr_per_s,time_total_s,time_per_history_s,omp_num_procs,omp_max_threads,omp_dynamic,omp_env_threads,fom
collisions_analog_per_source,steel,0.06817,0.00105124,0.0154209,68170,1051.24,26.0172,0.000260172,2,2,0,0,161.629
absorptions_analog_per_source,steel,0.01035,0.000264326,0.0255388,10350,264.326,26.0172,0.000260172,2,2,0,0,58.9304
collisions_tle_per_source,steel,0.0677574,0.000819077,0.0120884,67757.4,819.077,26.0172,0.000260172,2,2,0,0,263.029
absorptions_tle_per_source,steel,0.0101954,0.000149353,0.0146489,10195.4,149.353,26.0172,0.000260172,2,2,0,0,179.113
flux_tle_per_source,steel,1.29754e-05,1.52793e-07,0.0117757,12.9754,0.152793,26.0172,0.000260172,2,2,0,0,277.185
flux_cfe_per_source,steel,1.31683e-05,1.82919e-07,0.0138908,13.1683,0.182919,26.0172,0.000260172,2,2,0,0,199.197
collisions_analog_per_source,air,4e-05,1.83533e-05,0.458831,40,18.3533,26.0172,0.000260172,2,2,0,0,0.182572
absorptions_analog_per_source,air,0,0,0,0,0,26.0172,0.000260172,2,2,0,0,0
collisions_tle_per_source,air,5.97676e-05,3.40393e-06,0.0569527,59.7676,3.40393,26.0172,0.000260172,2,2,0,0,11.8498
absorptions_tle_per_source,air,8.00663e-06,4.87463e-07,0.0608824,8.00663,0.487463,26.0172,0.000260172,2,2,0,0,10.3695
flux_tle_per_source,air,2.23409e-06,1.33461e-07,0.0597385,2.23409,0.133461,26.0172,0.000260172,2,2,0,0,10.7704
flux_cfe_per_source,air,2.23591e-06,1.31417e-07,0.0587756,2.23591,0.131417,26.0172,0.000260172,2,2,0,0,11.1262
collisions_analog_per_source,water,101.624,0.280972,0.00276481,1.01624e+08,280972,26.0172,0.000260172,2,2,0,0,5028.16
absorptions_analog_per_source,water,0.80814,0.00102332,0.00126626,808140,1023.32,26.0172,0.000260172,2,2,0,0,23971.3
collisions_tle_per_source,water,101.614,0.282629,0.0027814,1.01614e+08,282629,26.0172,0.000260172,2,2,0,0,4968.35
absorptions_tle_per_source,water,0.8128,0.00278678,0.00342861,812800,2786.78,26.0172,0.000260172,2,2,0,0,3269.66
flux_tle_per_source,water,0.00126686,2.83668e-06,0.00223914,1266.86,2.83668,26.0172,0.000260172,2,2,0,0,7666.15
flux_cfe_per_source,water,0.0012671,2.83117e-06,0.00223438,1267.1,2.83117,26.0172,0.000260172,2,2,0,0,7698.86
leaks_per_source,all,0.18151,0.00106844,0.00588642,181510,1068.44,26.0172,0.000260172,2,2,0,0,1109.27
avg_batch_time_s,all,1.30085,0.0668676,0.0514029,,,26.0172,0.000260172,2,2,0,0,
