quantity,material,mean_per_source,stderr_per_source,rel_error,mean_per_s,stderr_per_s,time_total_s,time_per_history_s,omp_num_procs,omp_max_threads,omp_dynamic,omp_env_threads,fom
collisions_analog_per_source,steel,0.06901,0.00116253,0.0168458,69010,1162.53,11.8705,0.000118705,2,2,0,0,296.858
absorptions_analog_per_source,steel,0.01025,0.000266705,0.02602,10250,266.705,11.8705,0.000118705,2,2,0,0,124.427
collisions_tle_per_source,steel,0.0689039,0.0010348,0.015018,68903.9,1034.8,11.8705,0.000118705,2,2,0,0,373.512
absorptions_tle_per_source,steel,0.0103057,0.000164601,0.0159719,10305.7,164.601,11.8705,0.000118705,2,2,0,0,330.231
flux_tle_per_source,steel,1.31813e-05,1.91454e-07,0.0145246,13.1813,0.191454,11.8705,0.000118705,2,2,0,0,399.322
flux_cfe_per_source,steel,1.32733e-05,2.55563e-07,0.019254,13.2733,0.255563,11.8705,0.000118705,2,2,0,0,227.243
collisions_analog_per_source,air,4e-05,1.83533e-05,0.458831,40,18.3533,11.8705,0.000118705,2,2,0,0,0.400151
absorptions_analog_per_source,air,1e-05,1e-05,1,10,10,11.8705,0.000118705,2,2,0,0,0.0842423
collisions_tle_per_source,air,5.61041e-05,3.37145e-06,0.0600928,56.1041,3.37145,11.8705,0.000118705,2,2,0,0,23.3285
absorptions_tle_per_source,air,7.8623e-06,4.67607e-07,0.0594745,7.8623,0.467607,11.8705,0.000118705,2,2,0,0,23.816
flux_tle_per_source,air,2.06942e-06,1.26418e-07,0.0610885,2.06942,0.126418,11.8705,0.000118705,2,2,0,0,22.5741
flux_cfe_per_source,air,1.50752e-06,6.92927e-07,0.459648,1.50752,0.692927,11.8705,0.000118705,2,2,0,0,0.39873
collisions_analog_per_source,water,101.429,0.260055,0.00256391,1.01429e+08,260055,11.8705,0.000118705,2,2,0,0,12815.2
absorptions_analog_per_source,water,0.80985,0.00158989,0.0019632,809850,1589.89,11.8705,0.000118705,2,2,0,0,21857.6
collisions_tle_per_source,water,101.439,0.264738,0.00260982,1.01439e+08,264738,11.8705,0.000118705,2,2,0,0,12368.3
absorptions_tle_per_source,water,0.810722,0.00263001,0.00324403,810722,2630.01,11.8705,0.000118705,2,2,0,0,8004.98
flux_tle_per_source,water,0.0012653,2.66104e-06,0.00210309,1265.3,2.66104,11.8705,0.000118705,2,2,0,0,19046.4
flux_cfe_per_source,water,0.00126505,2.67454e-06,0.00211418,1265.05,2.67454,11.8705,0.000118705,2,2,0,0,18847.3
leaks_per_source,all,0.17989,0.00146679,0.00815381,179890,1466.79,11.8705,0.000118705,2,2,0,0,1267.1
avg_batch_time_s,all,0.593518,0.00169349,0.0028533,,,11.8705,0.000118705,2,2,0,0,
