ix,iy,iz,x_mid_cm,y_mid_cm,z_mid_cm,collisions,coll_rate_per_source_per_cm3,coll_rate_per_s_per_cm3
0,0,0,-19.35,-19.35,2.6,0,0,0
1,0,0,-15.05,-19.35,2.6,0,0,0
2,0,0,-10.75,-19.35,2.6,74,5.55856e-06,5.55856
3,0,0,-6.45,-19.35,2.6,651,4.89003e-05,48.9003
4,0,0,-2.15,-19.35,2.6,1521,0.000114251,114.251
5,0,0,2.15,-19.35,2.6,1465,0.000110044,110.044
6,0,0,6.45,-19.35,2.6,724,5.43838e-05,54.3838
7,0,0,10.75,-19.35,2.6,63,4.73229e-06,4.73229
8,0,0,15.05,-19.35,2.6,0,0,0
9,0,0,19.35,-19.35,2.6,0,0,0
0,1,0,-19.35,-15.05,2.6,0,0,0
1,1,0,-15.05,-15.05,2.6,188,1.41217e-05,14.1217
2,1,0,-10.75,-15.05,2.6,2138,0.000160597,160.597
3,1,0,-6.45,-15.05,2.6,6112,0.000459107,459.107
4,1,0,-2.15,-15.05,2.6,8978,0.000674389,674.389
5,1,0,2.15,-15.05,2.6,8525,0.000640361,640.361
6,1,0,6.45,-15.05,2.6,5888,0.000442281,442.281
7,1,0,10.75,-15.05,2.6,2772,0.000208221,208.221
8,1,0,15.05,-15.05,2.6,224,1.68259e-05,16.8259
9,1,0,19.35,-15.05,2.6,0,0,0
0,2,0,-19.35,-10.75,2.6,72,5.40833e-06,5.40833
1,2,0,-15.05,-10.75,2.6,2412,0.000181179,181.179
2,2,0,-10.75,-10.75,2.6,8445,0.000634352,634.352
3,2,0,-6.45,-10.75,2.6,18534,0.00139219,1392.19
4,2,0,-2.15,-10.75,2.6,28104,0.00211105,2111.05
5,2,0,2.15,-10.75,2.6,28560,0.0021453,2145.3
6,2,0,6.45,-10.75,2.6,18642,0.00140031,1400.31
7,2,0,10.75,-10.75,2.6,8270,0.000621207,621.207
8,2,0,15.05,-10.75,2.6,2817,0.000211601,211.601
9,2,0,19.35,-10.75,2.6,55,4.13136e-06,4.13136
0,3,0,-19.35,-6.45,2.6,673,5.05529e-05,50.5529
1,3,0,-15.05,-6.45,2.6,6905,0.000518674,518.674
2,3,0,-10.75,-6.45,2.6,18680,0.00140316,1403.16
3,3,0,-6.45,-6.45,2.6,44266,0.00332507,3325.07
4,3,0,-2.15,-6.45,2.6,73738,0.00553888,5538.88
5,3,0,2.15,-6.45,2.6,72208,0.00542395,5423.95
6,3,0,6.45,-6.45,2.6,42609,0.0032006,3200.6
7,3,0,10.75,-6.45,2.6,18173,0.00136508,1365.08
8,3,0,15.05,-6.45,2.6,6233,0.000468196,468.196
9,3,0,19.35,-6.45,2.6,600,4.50694e-05,45.0694
0,4,0,-19.35,-2.15,2.6,1799,0.000135133,135.133
1,4,0,-15.05,-2.15,2.6,8449,0.000634652,634.652
2,4,0,-10.75,-2.15,2.6,27169,0.00204082,2040.82
3,4,0,-6.45,-2.15,2.6,72003,0.00540855,5408.55
4,4,0,-2.15,-2.15,2.6,133018,0.00999174,9991.74
5,4,0,2.15,-2.15,2.6,131276,0.00986089,9860.89
6,4,0,6.45,-2.15,2.6,71735,0.00538842,5388.42
7,4,0,10.75,-2.15,2.6,28490,0.00214005,2140.05
8,4,0,15.05,-2.15,2.6,8143,0.000611667,611.667
9,4,0,19.35,-2.15,2.6,1448,0.000108768,108.768
0,5,0,-19.35,2.15,2.6,1568,0.000117781,117.781
1,5,0,-15.05,2.15,2.6,9006,0.000676492,676.492
2,5,0,-10.75,2.15,2.6,28071,0.00210857,2108.57
3,5,0,-6.45,2.15,2.6,68451,0.00514174,5141.74
4,5,0,-2.15,2.15,2.6,130192,0.00977946,9779.46
5,5,0,2.15,2.15,2.6,130809,0.00982581,9825.81
6,5,0,6.45,2.15,2.6,69272,0.00520341,5203.41
7,5,0,10.75,2.15,2.6,27661,0.00207777,2077.77
8,5,0,15.05,2.15,2.6,8573,0.000643967,643.967
9,5,0,19.35,2.15,2.6,1449,0.000108843,108.843
0,6,0,-19.35,6.45,2.6,792,5.94916e-05,59.4916
1,6,0,-15.05,6.45,2.6,6691,0.000502599,502.599
2,6,0,-10.75,6.45,2.6,19127,0.00143674,1436.74
3,6,0,-6.45,6.45,2.6,43679,0.00328098,3280.98
4,6,0,-2.15,6.45,2.6,72244,0.00542666,5426.66
5,6,0,2.15,6.45,2.6,71812,0.00539421,5394.21
6,6,0,6.45,6.45,2.6,41877,0.00314562,3145.62
7,6,0,10.75,6.45,2.6,18047,0.00135561,1355.61
8,6,0,15.05,6.45,2.6,5402,0.000405775,405.775
9,6,0,19.35,6.45,2.6,756,5.67875e-05,56.7875
0,7,0,-19.35,10.75,2.6,41,3.07974e-06,3.07974
1,7,0,-15.05,10.75,2.6,2911,0.000218662,218.662
2,7,0,-10.75,10.75,2.6,8235,0.000618578,618.578
3,7,0,-6.45,10.75,2.6,17942,0.00134773,1347.73
4,7,0,-2.15,10.75,2.6,28486,0.00213975,2139.75
5,7,0,2.15,10.75,2.6,27725,0.00208258,2082.58
6,7,0,6.45,10.75,2.6,18042,0.00135524,1355.24
7,7,0,10.75,10.75,2.6,8229,0.000618127,618.127
8,7,0,15.05,10.75,2.6,2699,0.000202737,202.737
9,7,0,19.35,10.75,2.6,54,4.05625e-06,4.05625
0,8,0,-19.35,15.05,2.6,0,0,0
1,8,0,-15.05,15.05,2.6,253,1.90043e-05,19.0043
2,8,0,-10.75,15.05,2.6,2607,0.000195827,195.827
3,8,0,-6.45,15.05,2.6,5624,0.000422451,422.451
4,8,0,-2.15,15.05,2.6,8480,0.000636981,636.981
5,8,0,2.15,15.05,2.6,8652,0.000649901,649.901
6,8,0,6.45,15.05,2.6,6018,0.000452046,452.046
7,8,0,10.75,15.05,2.6,2388,0.000179376,179.376
8,8,0,15.05,15.05,2.6,386,2.89947e-05,28.9947
9,8,0,19.35,15.05,2.6,0,0,0
0,9,0,-19.35,19.35,2.6,0,0,0
1,9,0,-15.05,19.35,2.6,0,0,0
2,9,0,-10.75,19.35,2.6,63,4.73229e-06,4.73229
3,9,0,-6.45,19.35,2.6,769,5.7764e-05,57.764
4,9,0,-2.15,19.35,2.6,1302,9.78006e-05,97.8006
5,9,0,2.15,19.35,2.6,1497,0.000112448,112.448
6,9,0,6.45,19.35,2.6,766,5.75386e-05,57.5386
7,9,0,10.75,19.35,2.6,72,5.40833e-06,5.40833
8,9,0,15.05,19.35,2.6,0,0,0
9,9,0,19.35,19.35,2.6,0,0,0
0,0,1,-19.35,-19.35,9.8,0,0,0
1,0,1,-15.05,-19.35,9.8,0,0,0
2,0,1,-10.75,-19.35,9.8,145,1.08918e-05,10.8918
3,0,1,-6.45,-19.35,9.8,1671,0.000125518,125.518
4,0,1,-2.15,-19.35,9.8,3360,0.000252389,252.389
5,0,1,2.15,-19.35,9.8,3396,0.000255093,255.093
6,0,1,6.45,-19.35,9.8,1596,0.000119885,119.885
7,0,1,10.75,-19.35,9.8,139,1.04411e-05,10.4411
8,0,1,15.05,-19.35,9.8,0,0,0
9,0,1,19.35,-19.35,9.8,0,0,0
0,1,1,-19.35,-15.05,9.8,0,0,0
1,1,1,-15.05,-15.05,9.8,529,3.97362e-05,39.7362
2,1,1,-10.75,-15.05,9.8,5209,0.000391278,391.278
3,1,1,-6.45,-15.05,9.8,12757,0.000958251,958.251
4,1,1,-2.15,-15.05,9.8,20131,0.00151215,1512.15
5,1,1,2.15,-15.05,9.8,21038,0.00158028,1580.28
6,1,1,6.45,-15.05,9.8,13161,0.000988597,988.597
7,1,1,10.75,-15.05,9.8,5493,0.00041261,412.61
8,1,1,15.05,-15.05,9.8,567,4.25906e-05,42.5906
9,1,1,19.35,-15.05,9.8,0,0,0
0,2,1,-19.35,-10.75,9.8,143,1.07415e-05,10.7415
1,2,1,-15.05,-10.75,9.8,6145,0.000461586,461.586
