ix,iy,iz,x_mid_cm,y_mid_cm,z_mid_cm,collisions,coll_rate_per_source_per_cm3,coll_rate_per_s_per_cm3
0,0,0,-19.35,-19.35,2.6,0,0,0
1,0,0,-15.05,-19.35,2.6,0,0,0
2,0,0,-10.75,-19.35,2.6,67,5.03275e-06,5.03275
3,0,0,-6.45,-19.35,2.6,749,5.62616e-05,56.2616
4,0,0,-2.15,-19.35,2.6,1777,0.000133481,133.481
5,0,0,2.15,-19.35,2.6,1602,0.000120335,120.335
6,0,0,6.45,-19.35,2.6,676,5.07782e-05,50.7782
7,0,0,10.75,-19.35,2.6,82,6.15949e-06,6.15949
8,0,0,15.05,-19.35,2.6,0,0,0
9,0,0,19.35,-19.35,2.6,0,0,0
0,1,0,-19.35,-15.05,2.6,0,0,0
1,1,0,-15.05,-15.05,2.6,349,2.62154e-05,26.2154
2,1,0,-10.75,-15.05,2.6,2950,0.000221591,221.591
3,1,0,-6.45,-15.05,2.6,5614,0.000421699,421.699
4,1,0,-2.15,-15.05,2.6,9062,0.000680698,680.698
5,1,0,2.15,-15.05,2.6,8409,0.000631648,631.648
6,1,0,6.45,-15.05,2.6,5470,0.000410883,410.883
7,1,0,10.75,-15.05,2.6,2962,0.000222493,222.493
8,1,0,15.05,-15.05,2.6,307,2.30605e-05,23.0605
9,1,0,19.35,-15.05,2.6,0,0,0
0,2,0,-19.35,-10.75,2.6,69,5.18298e-06,5.18298
1,2,0,-15.05,-10.75,2.6,2758,0.000207169,207.169
2,2,0,-10.75,-10.75,2.6,9190,0.000690313,690.313
3,2,0,-6.45,-10.75,2.6,17660,0.00132654,1326.54
4,2,0,-2.15,-10.75,2.6,26551,0.0019944,1994.4
5,2,0,2.15,-10.75,2.6,27954,0.00209978,2099.78
6,2,0,6.45,-10.75,2.6,17806,0.00133751,1337.51
7,2,0,10.75,-10.75,2.6,8921,0.000670107,670.107
8,2,0,15.05,-10.75,2.6,2918,0.000219188,219.188
9,2,0,19.35,-10.75,2.6,64,4.8074e-06,4.8074
0,3,0,-19.35,-6.45,2.6,852,6.39986e-05,63.9986
1,3,0,-15.05,-6.45,2.6,6276,0.000471426,471.426
2,3,0,-10.75,-6.45,2.6,19325,0.00145161,1451.61
3,3,0,-6.45,-6.45,2.6,45102,0.00338787,3387.87
4,3,0,-2.15,-6.45,2.6,72381,0.00543695,5436.95
5,3,0,2.15,-6.45,2.6,71175,0.00534636,5346.36
6,3,0,6.45,-6.45,2.6,43958,0.00330193,3301.93
7,3,0,10.75,-6.45,2.6,17406,0.00130746,1307.46
8,3,0,15.05,-6.45,2.6,6453,0.000484721,484.721
9,3,0,19.35,-6.45,2.6,635,4.76985e-05,47.6985
0,4,0,-19.35,-2.15,2.6,1240,9.31434e-05,93.1434
1,4,0,-15.05,-2.15,2.6,8106,0.000608888,608.888
2,4,0,-10.75,-2.15,2.6,27742,0.00208386,2083.86
3,4,0,-6.45,-2.15,2.6,72185,0.00542223,5422.23
4,4,0,-2.15,-2.15,2.6,131409,0.00987088,9870.88
5,4,0,2.15,-2.15,2.6,131574,0.00988327,9883.27
6,4,0,6.45,-2.15,2.6,72189,0.00542253,5422.53
7,4,0,10.75,-2.15,2.6,26200,0.00196803,1968.03
8,4,0,15.05,-2.15,2.6,9000,0.000676041,676.041
9,4,0,19.35,-2.15,2.6,1218,9.14909e-05,91.4909
0,5,0,-19.35,2.15,2.6,1235,9.27679e-05,92.7679
1,5,0,-15.05,2.15,2.6,7620,0.000572381,572.381
2,5,0,-10.75,2.15,2.6,27301,0.00205073,2050.73
3,5,0,-6.45,2.15,2.6,73027,0.00548547,5485.47
4,5,0,-2.15,2.15,2.6,129136,0.00970014,9700.14
5,5,0,2.15,2.15,2.6,132142,0.00992594,9925.94
6,5,0,6.45,2.15,2.6,71469,0.00536844,5368.44
7,5,0,10.75,2.15,2.6,28834,0.00216589,2165.89
8,5,0,15.05,2.15,2.6,8029,0.000603104,603.104
9,5,0,19.35,2.15,2.6,1259,9.45706e-05,94.5706
0,6,0,-19.35,6.45,2.6,774,5.81395e-05,58.1395
1,6,0,-15.05,6.45,2.6,5250,0.000394357,394.357
2,6,0,-10.75,6.45,2.6,16572,0.00124482,1244.82
3,6,0,-6.45,6.45,2.6,42361,0.00318198,3181.98
4,6,0,-2.15,6.45,2.6,73243,0.0055017,5501.7
5,6,0,2.15,6.45,2.6,74484,0.00559492,5594.92
6,6,0,6.45,6.45,2.6,43607,0.00327557,3275.57
7,6,0,10.75,6.45,2.6,18966,0.00142464,1424.64
8,6,0,15.05,6.45,2.6,6176,0.000463914,463.914
9,6,0,19.35,6.45,2.6,683,5.1304e-05,51.304
0,7,0,-19.35,10.75,2.6,71,5.33321e-06,5.33321
1,7,0,-15.05,10.75,2.6,2222,0.000166907,166.907
2,7,0,-10.75,10.75,2.6,8652,0.000649901,649.901
3,7,0,-6.45,10.75,2.6,17836,0.00133976,1339.76
4,7,0,-2.15,10.75,2.6,27083,0.00203436,2034.36
5,7,0,2.15,10.75,2.6,28359,0.00213021,2130.21
6,7,0,6.45,10.75,2.6,18457,0.00138641,1386.41
7,7,0,10.75,10.75,2.6,8741,0.000656586,656.586
8,7,0,15.05,10.75,2.6,2653,0.000199282,199.282
9,7,0,19.35,10.75,2.6,84,6.30972e-06,6.30972
0,8,0,-19.35,15.05,2.6,0,0,0
1,8,0,-15.05,15.05,2.6,304,2.28352e-05,22.8352
2,8,0,-10.75,15.05,2.6,2550,0.000191545,191.545
3,8,0,-6.45,15.05,2.6,5673,0.000426131,426.131
4,8,0,-2.15,15.05,2.6,8861,0.0006656,665.6
5,8,0,2.15,15.05,2.6,8999,0.000675966,675.966
6,8,0,6.45,15.05,2.6,5971,0.000448516,448.516
7,8,0,10.75,15.05,2.6,2917,0.000219112,219.112
8,8,0,15.05,15.05,2.6,295,2.21591e-05,22.1591
9,8,0,19.35,15.05,2.6,0,0,0
0,9,0,-19.35,19.35,2.6,0,0,0
1,9,0,-15.05,19.35,2.6,0,0,0
2,9,0,-10.75,19.35,2.6,48,3.60555e-06,3.60555
3,9,0,-6.45,19.35,2.6,641,4.81491e-05,48.1491
4,9,0,-2.15,19.35,2.6,1411,0.000105988,105.988
5,9,0,2.15,19.35,2.6,1204,9.04393e-05,90.4393
6,9,0,6.45,19.35,2.6,678,5.09284e-05,50.9284
7,9,0,10.75,19.35,2.6,58,4.35671e-06,4.35671
8,9,0,15.05,19.35,2.6,0,0,0
9,9,0,19.35,19.35,2.6,0,0,0
0,0,1,-19.35,-19.35,9.8,0,0,0
1,0,1,-15.05,-19.35,9.8,0,0,0
2,0,1,-10.75,-19.35,9.8,123,9.23923e-06,9.23923
3,0,1,-6.45,-19.35,9.8,1690,0.000126945,126.945
4,0,1,-2.15,-19.35,9.8,3164,0.000237666,237.666
5,0,1,2.15,-19.35,9.8,3435,0.000258022,258.022
6,0,1,6.45,-19.35,9.8,1639,0.000123115,123.115
7,0,1,10.75,-19.35,9.8,144,1.08167e-05,10.8167
8,0,1,15.05,-19.35,9.8,0,0,0
9,0,1,19.35,-19.35,9.8,0,0,0
0,1,1,-19.35,-15.05,9.8,0,0,0
1,1,1,-15.05,-15.05,9.8,703,5.28063e-05,52.8063
2,1,1,-10.75,-15.05,9.8,5250,0.000394357,394.357
3,1,1,-6.45,-15.05,9.8,13268,0.000996635,996.635
4,1,1,-2.15,-15.05,9.8,19815,0.00148842,1488.42
5,1,1,2.15,-15.05,9.8,19968,0.00149991,1499.91
6,1,1,6.45,-15.05,9.8,14308,0.00107476,1074.76
7,1,1,10.75,-15.05,9.8,6284,0.000472027,472.027
8,1,1,15.05,-15.05,9.8,589,4.42431e-05,44.2431
9,1,1,19.35,-15.05,9.8,0,0,0
0,2,1,-19.35,-10.75,9.8,158,1.18683e-05,11.8683
1,2,1,-15.05,-10.75,9.8,6126,0.000460159,460.159
